NAME	GS_SIZE	ES	NES	NOM_pval	FDR_qval	FWER_pval	RANK_AT_MAX	LEADING_EDGE
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	26	-0.406151739415295	-1.32968558961054	0.120092378752887	0.232402413970211	0.232402413970211	NA	PTPN11,SOS1,SHC1,FRS2,PIK3R1,FRS3,PIK3CA,FGF18,GRB2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	90	-0.320231420890852	-1.3322009202814	0.0446767943569165	0.111773811522982	0.111773811522982	NA	PSMC6,EIF2S3,ABCB7,ABCC1,ABCD3,PSMB2,DERL1,SEL1L,PSMC2,EIF2S2,ABCC4,PSMB7,PSMD12,PSMD14,PSMD11,PSMA1,ADRM1,PSMC4,UBC,PSMD7,PSMD2,PSMD1,DERL2,PEX3,PSMD8,PSMA2,VCP,UBB,OS9,PEX19,ERLEC1,PSMC5
REACTOME_SIGNALING_BY_FGFR1	52	-0.359893637064371	-1.33636338811102	0.0984848484848485	0.204741920191852	0.204741920191852	NA	PTPN11,SPRED2,SOS1,SHC1,ANOS1,CBL,BRAF,FGFRL1,FRS2,PIK3R1,MAPK1
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	18	-0.454852016446769	-1.33692020136677	0.120454545454545	0.232402413970211	0.232402413970211	NA	NOTCH1,ST3GAL6,ST3GAL4,SEL1L,RAB6A,ATP2A2,NOTCH2
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	62	-0.342715442658543	-1.34007884274885	0.0818858560794045	0.179568075117371	0.179568075117371	NA	SOS1,POLR2A,STAT3,CNTRL,FGFR1OP2,STAT1,FRS2,PIK3R1,BAG4,TRIM24,STAT5B,LRRFIP1,GAB2,GTF2F2,ZMYM2,GTF2F1,POLR2C,CUX1,CPSF6,POLR2J,PIK3CA,FGF18
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	17	-0.465044907339566	-1.34139504440069	0.136986301369863	0.252869307663828	0.252869307663828	NA	H1-0,EP400,RB1,ASF1A,HMGA1,CDKN1A,UBN1,TP53,H1-4,HMGA2,CABIN1
REACTOME_AURKA_ACTIVATION_BY_TPX2	71	-0.337930784298043	-1.34148550701393	0.0669975186104218	0.15485382474084	0.15485382474084	NA	OFD1,CEP63,CLASP1,AKAP9,CNTRL,CDK5RAP2,CEP57,CEP290,PCM1,DYNC1H1,DYNC1I2,HSP90AA1,HAUS8,PAFAH1B1,CSNK1E,SDCCAG8,CEP250,ODF2,HAUS4,NDE1,MAPRE1,CEP192,CKAP5,CEP152,ALMS1,YWHAG,PRKACA,PCNT,YWHAE,NEDD1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	78	-0.329061199074022	-1.34211864981305	0.0615217730282094	0.14717818206048	0.14717818206048	NA	SOS1,MAP2K4,FCER1A,MAPK9,PIK3CG,MAPK8,PIK3R1,BTK,MAPK1,SOS2,INPP5D,PLA2G4A,GAB2,PRKCD,PLCG2,PDPK1,AKT2,SYK,VAV3,MAP2K7,VAV1,PIK3CB,PIK3CA,MAPK14,PLA2G6,LYN,GRB2,RAF1,KRAS,RAC2,FCER1G,LAT,AKT3
KEGG_ADHERENS_JUNCTION	73	-0.33666379514239	-1.3422916136007	0.0394662196429092	0.100020141061621	0.100020141061621	NA	SMAD2,TGFBR1,EP300,WASL,NLK,CSNK2A2,WASF2,SMAD4,IQGAP1,MAPK1,PTPRM,TGFBR2,CREBBP,MAP3K7,CTNND1,TCF7L2,WAS,PTPN1,PTPRJ,CSNK2A1,ACTN4,CTNNA1,PTPN6,ACP1,CSNK2B,RHOA,ACTN1,RAC2,CDC42,ACTG1,SRC
REACTOME_PERK_REGULATES_GENE_EXPRESSION	32	-0.395003446834111	-1.34564147330235	0.107226107226107	0.216194555569025	0.216194555569025	NA	EIF2S3,DCP2,PARN,KHSRP,CEBPG,EIF2S2,EXOSC9,HERPUD1,ATF4,NFYC,NFYA,EXOSC3,EXOSC1,DDIT3,EXOSC2,EIF2S1,HSPA5,CEBPB,EIF2AK3,EXOSC8,EXOSC7,EXOSC4
REACTOME_SIGNALING_BY_FGFR2	72	-0.337880024064894	-1.34568306062106	0.0643564356435644	0.152094967282195	0.152094967282195	NA	PTPN11,SOS1,SHC1,POLR2A,CBL,BRAF,ESRP2,FRS2,PIK3R1,HNRNPA1,HNRNPH1,TIA1,MAPK1,GTF2F2,GTF2F1,POLR2C,FRS3,HNRNPF,POLR2J,PIK3CA,UBC,FGF18,GRB2,NCBP2,UBB,TIAL1,HNRNPM,POLR2B,KRAS
